scene_id,under_warning_rate,over_warning_rate,adaptive_under_warning_rate,adaptive_over_warning_rate,static_under_warning_rate,static_over_warning_rate,gt_tier_distribution,adaptive_tier_accuracy,static_tier_accuracy,adaptive_intervention_recall,static_intervention_recall,adaptive_emergency_recall,static_emergency_recall,cue_risk_monotonicity,shap_alignment,warning_lead_time_s,min_distance_m,cue_flicker_hz,visual_clutter,mean_score,tier_distribution,dataset,frames,duration_s,num_vrus,lighting,weather,location,env_risk,trajectory_risk,vru_risk,mean_ttc
f73a9362b09347f6_65_clip000,0.0,0.0,0.0,0.0,1.0,0.0,"{'intervention': 16, 'advisory': 29, 'silent': 42, 'emergency': 2}",0.8651685393258427,0.3258426966292135,0.625,0.0,0.0,0.0,-0.9040586802737294,0.0,5.4,2.2822113037109375,0.9090909090909091,0.20955056179775283,63.5752525515755,"{'intervention': 12, 'advisory': 31, 'silent': 46}",waymo,89,8.8,3,day,clear,waymo,0.4665456582408972,0.4183847317492214,0.17371263887706545,472.37109375
16adef60bcaf35af_2492_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'intervention': 3, 'advisory': 13, 'silent': 35}",0.9215686274509803,0.2549019607843137,0.0,0.0,0.0,0.0,-0.8166535844059444,0.0,0.0,4.396216869354248,0.6,0.11666666666666664,70.41367145148135,"{'advisory': 17, 'silent': 34}",waymo,51,5.0,18,day,clear,waymo,0.4553778079978575,0.20688702172515222,0.1721535192283256,438.35650634765625
16adef60bcaf35af_2519_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'advisory': 9, 'silent': 46}",0.9636363636363636,0.16363636363636364,0.0,0.0,0.0,0.0,-0.6929348671835833,0.0,0.0,7.354705333709717,0.5555555555555555,0.06999999999999999,73.90428370334183,"{'advisory': 11, 'silent': 44}",waymo,55,5.4,18,day,clear,waymo,0.4553778079978575,0.12753661619282206,0.13515018303197365,802.9083251953125
16adef60bcaf35af_2494_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'intervention': 3, 'advisory': 13, 'silent': 46}",0.9354838709677419,0.20967741935483872,0.0,0.0,0.0,0.0,-0.7727804963573753,0.0,0.0,4.396216869354248,0.49180327868852464,0.09596774193548382,71.37366278656707,"{'advisory': 17, 'silent': 45}",waymo,62,6.1,18,day,clear,waymo,0.4553778079978576,0.18253046520031488,0.1645103645836398,505.9002685546875
100d033b60683a9f_3659_clip000,0.0,0.0,0.0,0.0,0.0,0.0,{'silent': 78},1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.590700149536133,0.0,0.0,77.2985654797264,{'silent': 78},waymo,78,7.7,8,day,clear,waymo,0.4553778079978575,0.12698852317007164,0.022555550175238,4.67855978012085
0015197d-b916-43b6-bcaa-8a7d90d7b87d_26944_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'intervention': 16, 'advisory': 47, 'silent': 1}",0.65625,0.734375,0.0,0.0,0.0,0.0,-0.5406548735632486,0.0,0.0,5.246325143903048,0.6349206349206349,0.31171875000000004,59.00413572470575,"{'advisory': 57, 'silent': 7}",argoverse,64,6.300000000000001,20,day,clear,pittsburgh,0.4553778079978575,0.6283523008074451,0.13100609770521987,1.4607236674759136
0015197d-b916-43b6-bcaa-8a7d90d7b87d_26953_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'intervention': 16, 'advisory': 77, 'silent': 1}",0.6808510638297872,0.8191489361702128,0.0,0.0,0.0,0.0,-0.6343318611081883,0.0,0.0,5.246325143903048,0.7526881720430108,0.29414893617021287,60.725024806375565,"{'advisory': 79, 'silent': 15}",argoverse,94,9.3,20,day,clear,pittsburgh,0.4553778079978576,0.5720079713219565,0.12998745780171406,1.525989473534684
0015197d-b916-43b6-bcaa-8a7d90d7b87d_26955_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'intervention': 13, 'advisory': 48, 'silent': 11}",0.625,0.6666666666666666,0.0,0.0,0.0,0.0,-0.8246866347489057,0.0,0.0,5.246325143903048,1.267605633802817,0.22847222222222227,63.00177978165506,"{'advisory': 47, 'silent': 25}",argoverse,72,7.1,20,day,clear,pittsburgh,0.4553778079978575,0.49940025396189747,0.12670334265245747,1.8957942157976915
0015197d-b916-43b6-bcaa-8a7d90d7b87d_26957_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'intervention': 16, 'advisory': 70, 'silent': 1}",0.6551724137931034,0.8045977011494253,0.0,0.0,0.0,0.0,-0.6543075677650932,0.0,0.0,5.246325143903048,0.8139534883720929,0.28965517241379324,60.81554492396043,"{'advisory': 72, 'silent': 15}",argoverse,87,8.600000000000001,20,day,clear,pittsburgh,0.4553778079978575,0.5733386954739799,0.12563939639686242,1.5374423898989973
0015197d-b916-43b6-bcaa-8a7d90d7b87d_26966_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'intervention': 16, 'advisory': 45}",0.6721311475409836,0.7377049180327869,0.0,0.0,0.0,0.0,-0.42880178141180275,0.0,0.0,5.246325143903048,0.6666666666666666,0.32704918032786895,58.34540727467132,"{'advisory': 57, 'silent': 4}",argoverse,61,6.0,20,day,clear,pittsburgh,0.4553778079978575,0.6451243231797266,0.13619169033408612,1.408462259779395
