scene_id,under_warning_rate,over_warning_rate,adaptive_under_warning_rate,adaptive_over_warning_rate,static_under_warning_rate,static_over_warning_rate,gt_tier_distribution,adaptive_tier_accuracy,static_tier_accuracy,adaptive_intervention_recall,static_intervention_recall,adaptive_emergency_recall,static_emergency_recall,cue_risk_monotonicity,shap_alignment,warning_lead_time_s,min_distance_m,cue_flicker_hz,visual_clutter,mean_score,tier_distribution,ablation,dataset,env_risk,mean_traj_risk,mean_vru_risk,top_factor
scene-0103_68a40df2846e4298af0417ea12721b5c_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'advisory': 4, 'intervention': 9}",0.23076923076923078,0.3076923076923077,0.0,0.0,0.0,0.0,-0.4629100498862757,0.0,0.0,5.779254636762074,0.16666177792118098,0.3230769230769231,51.49487856108843,"{'silent': 1, 'advisory': 12}",full,nuscenes,0.4553778079978576,0.8546523524873737,0.15501461814586853,trajectory
scene-0103_fa107c6dd0dc4d15b94b86cbf5b990c0_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'silent': 3, 'advisory': 4, 'intervention': 9}",0.375,0.25,0.0,0.0,0.0,0.0,-0.7514691493021795,0.0,0.0,5.779254636762074,0.1351498372458085,0.26249999999999996,56.28000326541186,"{'silent': 4, 'advisory': 12}",full,nuscenes,0.4553778079978575,0.717937023399007,0.13222579042345445,trajectory
scene-0103_ead6a822f86c432481c0a9d2e4e4f827_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'silent': 1, 'advisory': 4, 'intervention': 9}",0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0,-0.6076436202501999,0.0,0.0,5.779254636762074,0.15626379516316674,0.3,53.12647438517053,"{'silent': 2, 'advisory': 12}",full,nuscenes,0.4553778079978576,0.8090241955228435,0.14625624764099515,trajectory
scene-0103_99fbf1b9bf474215a4e8ad562bb7e9b2_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'silent': 5, 'advisory': 4, 'intervention': 9}",0.4444444444444444,0.2222222222222222,0.0,0.0,0.0,0.0,-0.8177595307636584,0.0,0.0,5.779254636762074,0.11977275754256962,0.23333333333333328,58.64722091760705,"{'silent': 6, 'advisory': 12}",full,nuscenes,0.4553778079978576,0.6492048237795562,0.12205073496973196,trajectory
scene-0103_6e71a9ceaf9a4974a1d07a2bd3544506_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'silent': 6, 'advisory': 4, 'intervention': 9}",0.47368421052631576,0.21052631578947367,0.0,0.0,0.0,0.0,-0.8366600265340756,0.0,0.0,5.779254636762074,0.1129995980604297,0.22105263157894733,59.5571095200669,"{'silent': 7, 'advisory': 12}",full,nuscenes,0.4553778079978576,0.6229158487153456,0.11801008995194755,trajectory
scene-0103_34aaf645a4174c6c8ff1874e6b33ccf6_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'silent': 4, 'advisory': 4, 'intervention': 9}",0.4117647058823529,0.23529411764705882,0.0,0.0,0.0,0.0,-0.7905694150420949,0.0,0.0,5.779254636762074,0.12659756633902372,0.24705882352941172,57.51346307233928,"{'silent': 5, 'advisory': 12}",full,nuscenes,0.4553778079978576,0.6823050263584968,0.12674246056638383,trajectory
scene-0103_b3412553d70f40b3a1d19a0eb8529a08_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'advisory': 12, 'silent': 6, 'intervention': 2}",0.75,0.6,0.0,0.0,0.0,0.0,-0.8627635262664035,0.0,0.0,7.815466782298337,0.5262626092521175,0.1925,68.09495997184038,"{'advisory': 11, 'silent': 9}",full,nuscenes,0.4553778079978576,0.37176724042587284,0.0845636831823041,environmental
scene-0103_e147a4c07e06487592fb5d6135c27a78_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'advisory': 13, 'silent': 3, 'intervention': 4}",0.65,0.65,0.0,0.0,0.0,0.0,-0.7947194142390263,0.0,0.0,7.211785952341847,0.5235191501734575,0.24499999999999994,63.83315968700922,"{'advisory': 14, 'silent': 6}",full,nuscenes,0.4553778079978575,0.5010480175931844,0.09734291550936497,trajectory
scene-0103_996d9e039f7a4838ac48d5409ca89732_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'silent': 5, 'advisory': 4, 'intervention': 9}",0.4444444444444444,0.2222222222222222,0.0,0.0,0.0,0.0,-0.8177595307636584,0.0,0.0,5.779254636762074,0.11977275754256962,0.23333333333333328,58.64722091760705,"{'silent': 6, 'advisory': 12}",full,nuscenes,0.4553778079978576,0.6492048237795562,0.12205073496973196,trajectory
scene-0103_72137291381349428afb1038d4e5898c_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'silent': 5, 'advisory': 4, 'intervention': 9}",0.4444444444444444,0.2222222222222222,0.0,0.0,0.0,0.0,-0.8177595307636584,0.0,0.0,5.779254636762074,0.11977275754256962,0.23333333333333328,58.64722091760705,"{'silent': 6, 'advisory': 12}",full,nuscenes,0.4553778079978575,0.6492048237795562,0.12205073496973196,trajectory
scene-0103_c34cb46c7be6486a85ee49653850b174_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'silent': 6, 'advisory': 4, 'intervention': 9}",0.47368421052631576,0.21052631578947367,0.0,0.0,0.0,0.0,-0.8366600265340756,0.0,0.0,5.779254636762074,0.1129995980604297,0.22105263157894733,59.5571095200669,"{'silent': 7, 'advisory': 12}",full,nuscenes,0.4553778079978575,0.6229158487153456,0.11801008995194755,trajectory
scene-0103_5d77c275683248658e7564ef24bf63b2_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'silent': 6, 'advisory': 4, 'intervention': 9}",0.47368421052631576,0.21052631578947367,0.0,0.0,0.0,0.0,-0.8366600265340756,0.0,0.0,5.779254636762074,0.1129995980604297,0.22105263157894733,59.5571095200669,"{'silent': 7, 'advisory': 12}",full,nuscenes,0.4553778079978576,0.6229158487153456,0.11801008995194755,trajectory
scene-0103_3c7331d16ac6439e9bd5a57d75976446_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'advisory': 12, 'silent': 7, 'intervention': 1}",0.8,0.6,0.0,0.0,0.0,0.0,-0.8671099695241199,0.0,0.0,7.967399571723729,0.5262928541850912,0.175,69.5919631948841,"{'advisory': 10, 'silent': 10}",full,nuscenes,0.4553778079978575,0.3273776510693439,0.07905316510404317,environmental
scene-0103_0809d64df9264121bead0772ee9b5984_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'silent': 1, 'advisory': 10, 'intervention': 4}",0.5333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,-0.7676494735787384,0.0,0.0,7.211785952341847,0.714235309679574,0.25666666666666665,61.48964798502762,"{'silent': 4, 'advisory': 11}",full,nuscenes,0.4553778079978576,0.5793695738784522,0.09713841595681723,trajectory
